Bacterium,Pathway,Value
Adlercreutzia equolifaciens,map00750,1.44
Adlercreutzia equolifaciens,map00760,0.27
Adlercreutzia equolifaciens,map00770,3.22
Adlercreutzia equolifaciens,map00780,0.19
Adlercreutzia equolifaciens,map00790,4.49
Adlercreutzia equolifaciens,map00791,1.0
Adlercreutzia equolifaciens,map00860,4.61
Adlercreutzia equolifaciens,map00900,1.1
Adlercreutzia equolifaciens,map00903,0.43
Adlercreutzia equolifaciens,map00908,0.01
Adlercreutzia equolifaciens,map00950,0.1
Adlercreutzia equolifaciens,map00960,0.29
Adlercreutzia equolifaciens,map00966,0.05
Adlercreutzia equolifaciens,map00981,0.43
Adlercreutzia equolifaciens,map00983,0.89
Adlercreutzia equolifaciens,map00984,1.0
Adlercreutzia equolifaciens,map01051,0.01
Adlercreutzia equolifaciens,map01053,3.87
Adlercreutzia equolifaciens,map01055,0.23
Candidatus Saccharimonas aalborgensis,map00010,1.04
Candidatus Saccharimonas aalborgensis,map00020,1.0
Candidatus Saccharimonas aalborgensis,map00030,4.81
Candidatus Saccharimonas aalborgensis,map00040,0.28
Candidatus Saccharimonas aalborgensis,map00051,0.43
Candidatus Saccharimonas aalborgensis,map00052,0.54
Candidatus Saccharimonas aalborgensis,map00220,1.67
Candidatus Saccharimonas aalborgensis,map00230,1.42
Candidatus Saccharimonas aalborgensis,map00240,4.04
Candidatus Saccharimonas aalborgensis,map00250,1.09
Candidatus Saccharimonas aalborgensis,map00260,0.08
Candidatus Saccharimonas aalborgensis,map00270,1.03
Candidatus Saccharimonas aalborgensis,map00300,0.1
Candidatus Saccharimonas aalborgensis,map00311,0.46
Candidatus Saccharimonas aalborgensis,map00330,0.19
Candidatus Saccharimonas aalborgensis,map00332,0.19
Candidatus Saccharimonas aalborgensis,map00340,1.0
Candidatus Saccharimonas aalborgensis,map00380,0.8
Candidatus Saccharimonas aalborgensis,map00400,0.67
Candidatus Saccharimonas aalborgensis,map00430,0.03
Candidatus Saccharimonas aalborgensis,map00450,0.05
Candidatus Saccharimonas aalborgensis,map00460,0.71
Candidatus Saccharimonas aalborgensis,map00480,4.65
Candidatus Saccharimonas aalborgensis,map00500,4.13
Candidatus Saccharimonas aalborgensis,map00520,2.68
Candidatus Saccharimonas aalborgensis,map00541,1.62
Candidatus Saccharimonas aalborgensis,map00550,2.75
Candidatus Saccharimonas aalborgensis,map00561,0.25
Candidatus Saccharimonas aalborgensis,map00562,0.03
Candidatus Saccharimonas aalborgensis,map00564,0.33
Candidatus Saccharimonas aalborgensis,map00590,0.65
Candidatus Saccharimonas aalborgensis,map00620,0.2
Candidatus Saccharimonas aalborgensis,map00630,0.87
Candidatus Saccharimonas aalborgensis,map00640,1.03
Candidatus Saccharimonas aalborgensis,map00660,1.0
Candidatus Saccharimonas aalborgensis,map00670,0.87
Candidatus Saccharimonas aalborgensis,map00730,0.03
Candidatus Saccharimonas aalborgensis,map00760,3.7
Candidatus Saccharimonas aalborgensis,map00790,0.33
Candidatus Saccharimonas aalborgensis,map00900,0.01
Candidatus Saccharimonas aalborgensis,map00908,0.01
Candidatus Saccharimonas aalborgensis,map00940,0.63
Candidatus Saccharimonas aalborgensis,map00983,1.3
Candidatus Saccharimonas aalborgensis,map01051,0.01
Candidatus Saccharimonas aalborgensis,map01053,1.0
Clostridium aceticum,map00010,3.14
Clostridium aceticum,map00020,4.47
Clostridium aceticum,map00030,6.43
Clostridium aceticum,map00040,7.44
Clostridium aceticum,map00051,4.33
Clostridium aceticum,map00052,2.28
Clostridium aceticum,map00053,2.34
Clostridium aceticum,map00061,0.39
Clostridium aceticum,map00071,0.39
Clostridium aceticum,map00130,0.68
Clostridium aceticum,map00220,4.84
Clostridium aceticum,map00230,6.95
Clostridium aceticum,map00240,2.11
Clostridium aceticum,map00250,5.62
Clostridium aceticum,map00254,0.13
Clostridium aceticum,map00260,10.76
Clostridium aceticum,map00261,1.49
Clostridium aceticum,map00270,7.59
Clostridium aceticum,map00280,1.54
Clostridium aceticum,map00290,2.41
Clostridium aceticum,map00300,3.34
Clostridium aceticum,map00310,5.65
Clostridium aceticum,map00330,5.67
Clostridium aceticum,map00332,0.38
Clostridium aceticum,map00340,6.76
Clostridium aceticum,map00350,2.08
Clostridium aceticum,map00360,3.7
Clostridium aceticum,map00362,2.9
Clostridium aceticum,map00380,5.01
Clostridium aceticum,map00400,4.46
Clostridium aceticum,map00401,0.58
Clostridium aceticum,map00405,0.46
Clostridium aceticum,map00410,0.68
Clostridium aceticum,map00430,0.87
Clostridium aceticum,map00450,3.33
Clostridium aceticum,map00460,0.8
Clostridium aceticum,map00480,3.46
Clostridium aceticum,map00500,2.68
Clostridium aceticum,map00511,0.58
Clostridium aceticum,map00513,0.58
Clostridium aceticum,map00520,3.99
Clostridium aceticum,map00521,1.27
Clostridium aceticum,map00523,1.16
Clostridium aceticum,map00524,0.06
Clostridium aceticum,map00525,0.44
Clostridium aceticum,map00531,0.58
Clostridium aceticum,map00541,4.04
Clostridium aceticum,map00550,0.66
Clostridium aceticum,map00561,1.85
Clostridium aceticum,map00562,0.03
Clostridium aceticum,map00564,2.03
Clostridium aceticum,map00572,0.3
Clostridium aceticum,map00592,0.15
Clostridium aceticum,map00603,0.58
Clostridium aceticum,map00604,0.58
Clostridium aceticum,map00620,6.75
Clostridium aceticum,map00621,1.86
Clostridium aceticum,map00622,1.86
Clostridium aceticum,map00625,0.82
Clostridium aceticum,map00626,0.15
Clostridium aceticum,map00627,1.38
Clostridium aceticum,map00630,7.67
Clostridium aceticum,map00633,0.43
Clostridium aceticum,map00640,1.86
Clostridium aceticum,map00643,0.97
Clostridium aceticum,map00650,7.43
Clostridium aceticum,map00660,2.67
Clostridium aceticum,map00670,3.56
Clostridium aceticum,map00730,2.81
Clostridium aceticum,map00740,1.06
Clostridium aceticum,map00750,0.72
Clostridium aceticum,map00760,2.15
Clostridium aceticum,map00770,1.62
Clostridium aceticum,map00780,3.32
Clostridium aceticum,map00785,1.77
Clostridium aceticum,map00790,8.75
Clostridium aceticum,map00830,0.15
Clostridium aceticum,map00860,11.44
Clostridium aceticum,map00900,1.34
Clostridium aceticum,map00903,0.91
Clostridium aceticum,map00908,0.01
Clostridium aceticum,map00930,0.91
Clostridium aceticum,map00940,0.96
Clostridium aceticum,map00950,0.75
Clostridium aceticum,map00960,0.29
Clostridium aceticum,map00966,0.05
Clostridium aceticum,map00980,0.15
Clostridium aceticum,map00982,0.8
Clostridium aceticum,map00983,1.63
Clostridium aceticum,map01051,0.01
Clostridium aceticum,map01055,1.0
Clostridium acetobutylicum ATCC 824,map00010,4.73
Clostridium acetobutylicum ATCC 824,map00020,3.05
Clostridium acetobutylicum ATCC 824,map00030,5.89
Clostridium acetobutylicum ATCC 824,map00040,5.24
Clostridium acetobutylicum ATCC 824,map00051,7.97
Clostridium acetobutylicum ATCC 824,map00052,8.03
Clostridium acetobutylicum ATCC 824,map00053,0.39
Clostridium acetobutylicum ATCC 824,map00061,0.39
Clostridium acetobutylicum ATCC 824,map00062,0.62
Clostridium acetobutylicum ATCC 824,map00071,1.9
Clostridium acetobutylicum ATCC 824,map00130,0.68
Clostridium acetobutylicum ATCC 824,map00220,3.18
Clostridium acetobutylicum ATCC 824,map00230,7.84
Clostridium acetobutylicum ATCC 824,map00240,4.04
Clostridium acetobutylicum ATCC 824,map00250,2.99
Clostridium acetobutylicum ATCC 824,map00254,0.13
Clostridium acetobutylicum ATCC 824,map00260,3.39
Clostridium acetobutylicum ATCC 824,map00261,0.72
Clostridium acetobutylicum ATCC 824,map00270,5.57
Clostridium acetobutylicum ATCC 824,map00280,2.24
Clostridium acetobutylicum ATCC 824,map00281,0.25
Clostridium acetobutylicum ATCC 824,map00290,2.23
Clostridium acetobutylicum ATCC 824,map00300,2.8
Clostridium acetobutylicum ATCC 824,map00310,2.58
Clostridium acetobutylicum ATCC 824,map00311,0.46
Clostridium acetobutylicum ATCC 824,map00330,2.89
Clostridium acetobutylicum ATCC 824,map00332,0.38
Clostridium acetobutylicum ATCC 824,map00340,1.89
Clostridium acetobutylicum ATCC 824,map00350,0.44
Clostridium acetobutylicum ATCC 824,map00360,2.19
Clostridium acetobutylicum ATCC 824,map00361,0.49
Clostridium acetobutylicum ATCC 824,map00362,0.82
Clostridium acetobutylicum ATCC 824,map00363,0.37
Clostridium acetobutylicum ATCC 824,map00380,0.49
Clostridium acetobutylicum ATCC 824,map00400,3.46
Clostridium acetobutylicum ATCC 824,map00401,0.58
Clostridium acetobutylicum ATCC 824,map00405,0.46
Clostridium acetobutylicum ATCC 824,map00410,1.95
Clostridium acetobutylicum ATCC 824,map00430,0.06
Clostridium acetobutylicum ATCC 824,map00450,2.15
Clostridium acetobutylicum ATCC 824,map00460,1.03
Clostridium acetobutylicum ATCC 824,map00480,1.89
Clostridium acetobutylicum ATCC 824,map00500,10.8
Clostridium acetobutylicum ATCC 824,map00510,0.92
Clostridium acetobutylicum ATCC 824,map00511,1.89
Clostridium acetobutylicum ATCC 824,map00513,0.58
Clostridium acetobutylicum ATCC 824,map00520,11.01
Clostridium acetobutylicum ATCC 824,map00521,1.27
Clostridium acetobutylicum ATCC 824,map00523,1.16
Clostridium acetobutylicum ATCC 824,map00524,0.06
Clostridium acetobutylicum ATCC 824,map00525,0.44
Clostridium acetobutylicum ATCC 824,map00531,1.11
Clostridium acetobutylicum ATCC 824,map00540,4.61
Clostridium acetobutylicum ATCC 824,map00541,5.7
Clostridium acetobutylicum ATCC 824,map00550,0.84
Clostridium acetobutylicum ATCC 824,map00561,2.96
Clostridium acetobutylicum ATCC 824,map00562,0.53
Clostridium acetobutylicum ATCC 824,map00564,4.29
Clostridium acetobutylicum ATCC 824,map00565,0.51
Clostridium acetobutylicum ATCC 824,map00572,0.3
Clostridium acetobutylicum ATCC 824,map00590,0.65
Clostridium acetobutylicum ATCC 824,map00592,0.41
Clostridium acetobutylicum ATCC 824,map00600,0.53
Clostridium acetobutylicum ATCC 824,map00603,0.58
Clostridium acetobutylicum ATCC 824,map00604,1.11
Clostridium acetobutylicum ATCC 824,map00620,6.81
Clostridium acetobutylicum ATCC 824,map00621,0.16
Clostridium acetobutylicum ATCC 824,map00622,0.16
Clostridium acetobutylicum ATCC 824,map00625,1.32
Clostridium acetobutylicum ATCC 824,map00626,0.15
Clostridium acetobutylicum ATCC 824,map00627,1.34
Clostridium acetobutylicum ATCC 824,map00630,2.38
Clostridium acetobutylicum ATCC 824,map00633,1.03
Clostridium acetobutylicum ATCC 824,map00640,2.73
Clostridium acetobutylicum ATCC 824,map00650,7.43
Clostridium acetobutylicum ATCC 824,map00660,1.9
Clostridium acetobutylicum ATCC 824,map00670,1.28
Clostridium acetobutylicum ATCC 824,map00730,2.09
Clostridium acetobutylicum ATCC 824,map00740,1.9
Clostridium acetobutylicum ATCC 824,map00750,0.84
Clostridium acetobutylicum ATCC 824,map00760,1.46
Clostridium acetobutylicum ATCC 824,map00770,2.78
Clostridium acetobutylicum ATCC 824,map00780,1.41
Clostridium acetobutylicum ATCC 824,map00790,5.04
Clostridium acetobutylicum ATCC 824,map00830,0.15
Clostridium acetobutylicum ATCC 824,map00860,8.75
Clostridium acetobutylicum ATCC 824,map00900,1.34
Clostridium acetobutylicum ATCC 824,map00903,0.25
Clostridium acetobutylicum ATCC 824,map00908,0.01
Clostridium acetobutylicum ATCC 824,map00930,0.25
Clostridium acetobutylicum ATCC 824,map00940,0.63
Clostridium acetobutylicum ATCC 824,map00950,0.1
Clostridium acetobutylicum ATCC 824,map00960,0.29
Clostridium acetobutylicum ATCC 824,map00966,0.05
Clostridium acetobutylicum ATCC 824,map00980,0.15
Clostridium acetobutylicum ATCC 824,map00982,0.15
Clostridium acetobutylicum ATCC 824,map00983,1.03
Clostridium acetobutylicum ATCC 824,map01040,0.37
Clostridium acetobutylicum ATCC 824,map01051,0.01
Clostridium acetobutylicum ATCC 824,map01055,0.23
Clostridium acetobutylicum DSM 1731,map00010,4.73
Clostridium acetobutylicum DSM 1731,map00020,3.05
Clostridium acetobutylicum DSM 1731,map00030,6.53
Clostridium acetobutylicum DSM 1731,map00040,6.15
Clostridium acetobutylicum DSM 1731,map00051,7.97
Clostridium acetobutylicum DSM 1731,map00052,8.03
Clostridium acetobutylicum DSM 1731,map00053,0.39
Clostridium acetobutylicum DSM 1731,map00061,0.39
Clostridium acetobutylicum DSM 1731,map00062,0.62
Clostridium acetobutylicum DSM 1731,map00071,1.9
Clostridium acetobutylicum DSM 1731,map00130,0.68
Clostridium acetobutylicum DSM 1731,map00220,3.18
Clostridium acetobutylicum DSM 1731,map00230,8.42
Clostridium acetobutylicum DSM 1731,map00240,4.62
Clostridium acetobutylicum DSM 1731,map00250,2.99
Clostridium acetobutylicum DSM 1731,map00254,0.13
Clostridium acetobutylicum DSM 1731,map00260,4.39
Clostridium acetobutylicum DSM 1731,map00261,0.72
Clostridium acetobutylicum DSM 1731,map00270,7.56
Clostridium acetobutylicum DSM 1731,map00280,3.14
Clostridium acetobutylicum DSM 1731,map00281,0.25
Clostridium acetobutylicum DSM 1731,map00290,2.23
Clostridium acetobutylicum DSM 1731,map00300,2.8
Clostridium acetobutylicum DSM 1731,map00310,2.58
Clostridium acetobutylicum DSM 1731,map00311,0.46
Clostridium acetobutylicum DSM 1731,map00330,2.89
Clostridium acetobutylicum DSM 1731,map00332,0.38
Clostridium acetobutylicum DSM 1731,map00340,1.89
Clostridium acetobutylicum DSM 1731,map00350,0.44
Clostridium acetobutylicum DSM 1731,map00360,2.19
Clostridium acetobutylicum DSM 1731,map00361,0.49
Clostridium acetobutylicum DSM 1731,map00362,0.82
Clostridium acetobutylicum DSM 1731,map00363,0.37
Clostridium acetobutylicum DSM 1731,map00380,0.49
Clostridium acetobutylicum DSM 1731,map00400,3.46
Clostridium acetobutylicum DSM 1731,map00401,0.58
Clostridium acetobutylicum DSM 1731,map00405,0.46
Clostridium acetobutylicum DSM 1731,map00410,1.95
Clostridium acetobutylicum DSM 1731,map00430,0.06
Clostridium acetobutylicum DSM 1731,map00450,3.15
Clostridium acetobutylicum DSM 1731,map00460,1.03
Clostridium acetobutylicum DSM 1731,map00480,1.89
Clostridium acetobutylicum DSM 1731,map00500,12.53
Clostridium acetobutylicum DSM 1731,map00510,0.92
Clostridium acetobutylicum DSM 1731,map00511,1.89
Clostridium acetobutylicum DSM 1731,map00513,0.58
Clostridium acetobutylicum DSM 1731,map00520,13.01
Clostridium acetobutylicum DSM 1731,map00521,1.27
Clostridium acetobutylicum DSM 1731,map00523,1.16
Clostridium acetobutylicum DSM 1731,map00524,0.06
Clostridium acetobutylicum DSM 1731,map00525,0.44
Clostridium acetobutylicum DSM 1731,map00531,1.11
Clostridium acetobutylicum DSM 1731,map00540,4.61
Clostridium acetobutylicum DSM 1731,map00541,7.7
Clostridium acetobutylicum DSM 1731,map00550,0.84
Clostridium acetobutylicum DSM 1731,map00561,3.24
Clostridium acetobutylicum DSM 1731,map00562,0.53
Clostridium acetobutylicum DSM 1731,map00564,4.33
Clostridium acetobutylicum DSM 1731,map00565,0.51
Clostridium acetobutylicum DSM 1731,map00572,0.3
Clostridium acetobutylicum DSM 1731,map00590,0.65
Clostridium acetobutylicum DSM 1731,map00592,0.41
Clostridium acetobutylicum DSM 1731,map00600,0.53
Clostridium acetobutylicum DSM 1731,map00603,0.58
Clostridium acetobutylicum DSM 1731,map00604,1.11
Clostridium acetobutylicum DSM 1731,map00620,6.86
Clostridium acetobutylicum DSM 1731,map00621,0.16
Clostridium acetobutylicum DSM 1731,map00622,0.16
Clostridium acetobutylicum DSM 1731,map00625,1.32
Clostridium acetobutylicum DSM 1731,map00626,0.15
Clostridium acetobutylicum DSM 1731,map00627,1.34
Clostridium acetobutylicum DSM 1731,map00630,3.28
Clostridium acetobutylicum DSM 1731,map00633,1.03
Clostridium acetobutylicum DSM 1731,map00640,3.63
Clostridium acetobutylicum DSM 1731,map00650,7.43
Clostridium acetobutylicum DSM 1731,map00660,1.9
Clostridium acetobutylicum DSM 1731,map00670,1.28
Clostridium acetobutylicum DSM 1731,map00730,2.09
Clostridium acetobutylicum DSM 1731,map00740,1.9
Clostridium acetobutylicum DSM 1731,map00750,0.84
Clostridium acetobutylicum DSM 1731,map00760,1.46
Clostridium acetobutylicum DSM 1731,map00770,2.78
Clostridium acetobutylicum DSM 1731,map00780,1.41
Clostridium acetobutylicum DSM 1731,map00790,5.47
Clostridium acetobutylicum DSM 1731,map00830,0.15
Clostridium acetobutylicum DSM 1731,map00860,8.95
Clostridium acetobutylicum DSM 1731,map00900,1.71
Clostridium acetobutylicum DSM 1731,map00903,0.25
Clostridium acetobutylicum DSM 1731,map00908,0.01
Clostridium acetobutylicum DSM 1731,map00930,0.25
Clostridium acetobutylicum DSM 1731,map00940,0.63
Clostridium acetobutylicum DSM 1731,map00950,0.1
Clostridium acetobutylicum DSM 1731,map00960,0.29
Clostridium acetobutylicum DSM 1731,map00966,0.05
Clostridium acetobutylicum DSM 1731,map00980,0.15
Clostridium acetobutylicum DSM 1731,map00982,0.15
Clostridium acetobutylicum DSM 1731,map00983,1.61
Clostridium acetobutylicum DSM 1731,map01040,0.37
Clostridium acetobutylicum DSM 1731,map01051,0.01
Clostridium acetobutylicum DSM 1731,map01055,0.23
Clostridium acetobutylicum EA 2018,map00010,4.73
Clostridium acetobutylicum EA 2018,map00020,3.05
Clostridium acetobutylicum EA 2018,map00030,6.53
Clostridium acetobutylicum EA 2018,map00040,6.15
Clostridium acetobutylicum EA 2018,map00051,7.97
Clostridium acetobutylicum EA 2018,map00052,8.03
Clostridium acetobutylicum EA 2018,map00053,0.39
Clostridium acetobutylicum EA 2018,map00061,0.39
Clostridium acetobutylicum EA 2018,map00062,0.62
Clostridium acetobutylicum EA 2018,map00071,1.9
Clostridium acetobutylicum EA 2018,map00130,0.68
Clostridium acetobutylicum EA 2018,map00220,3.18
Clostridium acetobutylicum EA 2018,map00230,8.42
Clostridium acetobutylicum EA 2018,map00240,4.62
Clostridium acetobutylicum EA 2018,map00250,2.99
Clostridium acetobutylicum EA 2018,map00254,0.13
Clostridium acetobutylicum EA 2018,map00260,3.95
Clostridium acetobutylicum EA 2018,map00261,0.72
Clostridium acetobutylicum EA 2018,map00270,5.57
Clostridium acetobutylicum EA 2018,map00280,3.14
Clostridium acetobutylicum EA 2018,map00281,0.25
Clostridium acetobutylicum EA 2018,map00290,2.23
Clostridium acetobutylicum EA 2018,map00300,2.8
Clostridium acetobutylicum EA 2018,map00310,2.58
Clostridium acetobutylicum EA 2018,map00311,0.46
Clostridium acetobutylicum EA 2018,map00330,2.89
Clostridium acetobutylicum EA 2018,map00332,0.38
Clostridium acetobutylicum EA 2018,map00340,1.89
Clostridium acetobutylicum EA 2018,map00350,0.44
Clostridium acetobutylicum EA 2018,map00360,2.19
Clostridium acetobutylicum EA 2018,map00361,0.49
Clostridium acetobutylicum EA 2018,map00362,0.82
Clostridium acetobutylicum EA 2018,map00363,0.37
Clostridium acetobutylicum EA 2018,map00380,0.49
Clostridium acetobutylicum EA 2018,map00400,3.46
Clostridium acetobutylicum EA 2018,map00401,0.58
Clostridium acetobutylicum EA 2018,map00405,0.46
Clostridium acetobutylicum EA 2018,map00410,1.95
Clostridium acetobutylicum EA 2018,map00430,0.06
Clostridium acetobutylicum EA 2018,map00450,2.15
Clostridium acetobutylicum EA 2018,map00460,1.03
Clostridium acetobutylicum EA 2018,map00480,1.89
Clostridium acetobutylicum EA 2018,map00500,12.53
Clostridium acetobutylicum EA 2018,map00510,0.92
Clostridium acetobutylicum EA 2018,map00511,1.89
Clostridium acetobutylicum EA 2018,map00513,0.58
Clostridium acetobutylicum EA 2018,map00520,13.01
Clostridium acetobutylicum EA 2018,map00521,1.27
Clostridium acetobutylicum EA 2018,map00523,1.16
Clostridium acetobutylicum EA 2018,map00524,0.06
Clostridium acetobutylicum EA 2018,map00525,0.44
Clostridium acetobutylicum EA 2018,map00531,1.11
Clostridium acetobutylicum EA 2018,map00540,4.61
Clostridium acetobutylicum EA 2018,map00541,7.7
Clostridium acetobutylicum EA 2018,map00550,0.84
Clostridium acetobutylicum EA 2018,map00561,3.24
Clostridium acetobutylicum EA 2018,map00562,0.53
Clostridium acetobutylicum EA 2018,map00564,4.33
Clostridium acetobutylicum EA 2018,map00565,0.51
Clostridium acetobutylicum EA 2018,map00572,0.3
Clostridium acetobutylicum EA 2018,map00590,0.65
Clostridium acetobutylicum EA 2018,map00592,0.41
Clostridium acetobutylicum EA 2018,map00600,0.53
Clostridium acetobutylicum EA 2018,map00603,0.58
Clostridium acetobutylicum EA 2018,map00604,1.11
Clostridium acetobutylicum EA 2018,map00620,6.86
Clostridium acetobutylicum EA 2018,map00621,0.16
Clostridium acetobutylicum EA 2018,map00622,0.16
Clostridium acetobutylicum EA 2018,map00625,1.32
Clostridium acetobutylicum EA 2018,map00626,0.15
Clostridium acetobutylicum EA 2018,map00627,1.34
Clostridium acetobutylicum EA 2018,map00630,3.28
Clostridium acetobutylicum EA 2018,map00633,1.03
Clostridium acetobutylicum EA 2018,map00640,3.63
Clostridium acetobutylicum EA 2018,map00650,7.43
Clostridium acetobutylicum EA 2018,map00660,1.9
Clostridium acetobutylicum EA 2018,map00670,1.28
Clostridium acetobutylicum EA 2018,map00730,2.09
Clostridium acetobutylicum EA 2018,map00740,1.9
Clostridium acetobutylicum EA 2018,map00750,0.84
Clostridium acetobutylicum EA 2018,map00760,1.46
Clostridium acetobutylicum EA 2018,map00770,2.78
Clostridium acetobutylicum EA 2018,map00780,1.41
Clostridium acetobutylicum EA 2018,map00790,5.47
Clostridium acetobutylicum EA 2018,map00830,0.15
Clostridium acetobutylicum EA 2018,map00860,8.95
Clostridium acetobutylicum EA 2018,map00900,1.71
Clostridium acetobutylicum EA 2018,map00903,0.25
Clostridium acetobutylicum EA 2018,map00908,0.01
Clostridium acetobutylicum EA 2018,map00930,0.25
Clostridium acetobutylicum EA 2018,map00940,0.63
Clostridium acetobutylicum EA 2018,map00950,0.1
Clostridium acetobutylicum EA 2018,map00960,0.29
Clostridium acetobutylicum EA 2018,map00966,0.05
Clostridium acetobutylicum EA 2018,map00980,0.15
Clostridium acetobutylicum EA 2018,map00982,0.15
Clostridium acetobutylicum EA 2018,map00983,1.61
Clostridium acetobutylicum EA 2018,map01040,0.37
Clostridium acetobutylicum EA 2018,map01051,0.01
Clostridium acetobutylicum EA 2018,map01055,0.23
Clostridium argentinense,map00010,5.27
Clostridium argentinense,map00020,2.47
Clostridium argentinense,map00030,4.06
Clostridium argentinense,map00040,0.92
Clostridium argentinense,map00051,1.8
Clostridium argentinense,map00052,1.95
Clostridium argentinense,map00053,0.43
Clostridium argentinense,map00061,0.39
Clostridium argentinense,map00062,0.62
Clostridium argentinense,map00071,1.35
Clostridium argentinense,map00130,1.61
Clostridium argentinense,map00220,4.11
Clostridium argentinense,map00230,10.7
Clostridium argentinense,map00240,7.94
Clostridium argentinense,map00250,3.96
Clostridium argentinense,map00254,0.13
Clostridium argentinense,map00260,7.52
Clostridium argentinense,map00261,0.87
Clostridium argentinense,map00270,6.49
Clostridium argentinense,map00280,1.8
Clostridium argentinense,map00281,0.25
Clostridium argentinense,map00290,0.23
Clostridium argentinense,map00300,1.7
Clostridium argentinense,map00310,7.48
Clostridium argentinense,map00311,0.46
Clostridium argentinense,map00330,7.86
Clostridium argentinense,map00332,0.38
Clostridium argentinense,map00340,5.41
Clostridium argentinense,map00350,0.9
Clostridium argentinense,map00360,1.95
Clostridium argentinense,map00361,0.49
Clostridium argentinense,map00362,0.82
Clostridium argentinense,map00363,0.37
Clostridium argentinense,map00380,2.91
Clostridium argentinense,map00400,0.58
Clostridium argentinense,map00401,0.1
Clostridium argentinense,map00410,1.97
Clostridium argentinense,map00430,0.92
Clostridium argentinense,map00440,2.66
Clostridium argentinense,map00450,3.25
Clostridium argentinense,map00460,0.8
Clostridium argentinense,map00480,1.03
Clostridium argentinense,map00500,1.04
Clostridium argentinense,map00511,1.35
Clostridium argentinense,map00513,0.58
Clostridium argentinense,map00520,6.68
Clostridium argentinense,map00521,0.63
Clostridium argentinense,map00523,0.59
Clostridium argentinense,map00525,0.22
Clostridium argentinense,map00531,0.58
Clostridium argentinense,map00541,5.11
Clostridium argentinense,map00550,0.84
Clostridium argentinense,map00561,2.92
Clostridium argentinense,map00562,0.53
Clostridium argentinense,map00564,3.16
Clostridium argentinense,map00565,0.51
Clostridium argentinense,map00572,0.3
Clostridium argentinense,map00592,0.41
Clostridium argentinense,map00603,0.58
Clostridium argentinense,map00604,0.58
Clostridium argentinense,map00620,6.22
Clostridium argentinense,map00621,0.16
Clostridium argentinense,map00622,0.16
Clostridium argentinense,map00625,1.08
Clostridium argentinense,map00626,0.15
